"","SpeciesName","OrigValueStr"
"86646","Acer pseudoplatanus","3"
"86647","Agrostis capillaris","3"
"86648","Anemone nemorosa","3"
"86649","Anthericum liliago","4"
"86650","Anthoxanthum odoratum","3"
"86651","Aruncus dioicus","3"
"86652","Athyrium filix-femina","3"
"86653","Avenella flexuosa","3"
"86654","Betula pendula","3"
"86655","Brachypodium pinnatum","3"
"86656","Buddleja davidii","5"
"86657","Calamagrostis arundinacea","3"
"86658","Calluna vulgaris","2"
"86659","Carex humilis","3"
"86660","Carex montana","3"
"86661","Carex pallescens","3"
"86662","Carex pilulifera","3"
"86663","Castanea sativa","5"
"86664","Clematis vitalba","3"
"86665","Corylus avellana","3"
"86666","Crataegus monogyna","4"
"86667","Cytisus scoparius","4"
"86668","Danthonia decumbens","3"
"86669","Dryopteris borreri","3"
"86670","Erica carnea","2"
"86671","Eupatorium cannabinum","4"
"86672","Fagus sylvatica","3"
"86673","Fallopia convolvulus","4"
"86674","Festuca heterophylla","4"
"86675","Festuca ovina","3"
"86676","Frangula alnus","4"
"86677","Fraxinus excelsior","4"
"86678","Galeopsis pubescens","4"
"86679","Galeopsis tetrahit","3"
"86680","Galium verum","3"
"86681","Gentiana asclepiadea","3"
"86682","Hedera helix","4"
"86683","Hieracium murorum","3"
"86684","Hieracium sabaudum","4"
"86685","Hypericum humifusum","3"
"86686","Hypericum perforatum","4"
"86687","Ilex aquifolium","5"
"86688","Impatiens parviflora","4"
"86689","Juglans regia","5"
"86690","Laurus nobilis","5"
"86691","Luzula nivea","3"
"86692","Luzula pilosa","3"
"86693","Malus sylvestris","4"
"86694","Melampyrum pratense","3"
"86695","Mespilus germanica","5"
"86696","Molinia litoralis","4"
"86697","Mycelis muralis","4"
"86698","Orobanche rapum-genistae","4"
"86699","Phytolacca americana","5"
"86700","Pinus strobus","4"
"86701","Poa nemoralis","3"
"86702","Polygala chamaebuxus","2"
"86703","Polygonatum multiflorum","3"
"86704","Populus tremula","3"
"86705","Potentilla erecta","3"
"86706","Prenanthes purpurea","3"
"86707","Prunella grandiflora","3"
"86708","Prunus avium","4"
"86709","Prunus laurocerasus","5"
"86710","Pteridium aquilinum","3"
"86711","Quercus petraea","4"
"86712","Quercus pubescens","5"
"86713","Quercus robur","4"
"86714","Robinia pseudacacia","4"
"86715","Rumex acetosella","4"
"86716","Salix aurita","3"
"86717","Saponaria ocymoides","3"
"86718","Scrophularia nodosa","3"
"86719","Senecio ovatus","3"
"86720","Silene dioica","3"
"86721","Silene latifolia","4"
"86722","Silene rupestris","2"
"86723","Silene vulgaris","3"
"86724","Solanum chenopodioides","5"
"86725","Solidago virgaurea","4"
"86726","Sorbus aria","3"
"86727","Sorbus aucuparia","3"
"86728","Tamus communis","4"
"86729","Taxus baccata","3"
"86730","Teucrium scorodonia","4"
"86731","Tilia cordata","4"
"86732","Vaccinium myrtillus","2"
"86733","Veronica officinalis","3"
"86734","Vincetoxicum hirundinaria","3"
"86735","Viola riviniana","3"
"86736","Viola rupestris","3"
"86737","Viola silvestris","3"
